hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,hotel_location,payment_method
City Hotel,1,1,2025,December,53,29,0,4,2,0.0,1,BB,CAN,Groups,TA/TO,0,0,0,B,2,No Deposit,0,Transient,3926.0,0,2,Chattogram,Mobile Banking
City Hotel,1,364,2025,October,42,16,0,2,2,0.0,0,HB,BGD,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,0,Transient-Party,5945.0,0,0,Sylhet,Mobile Banking
City Hotel,0,18,2024,December,51,11,1,0,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,6137.0,0,0,Dhaka,Cash
City Hotel,1,21,2024,January,1,2,1,3,2,0.0,0,BB,CAN,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4777.0,0,2,Chattogram,Mobile Banking
City Hotel,1,15,2024,February,7,17,0,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,6439.0,0,0,Dhaka,Mobile Banking
City Hotel,0,22,2025,March,11,16,2,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5207.0,0,1,Dhaka,Mobile Banking
Resort,1,80,2025,August,34,26,2,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Contract,5613.0,0,1,Kuakata,Mobile Banking
City Hotel,1,25,2024,December,50,8,0,2,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,1,0,A,0,Non Refund,0,Transient,6379.0,0,0,Dhaka,Card
Resort,0,164,2024,November,46,9,2,5,2,0.0,0,HB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3995.0,1,0,Sylhet,Cash
City Hotel,0,69,2025,May,20,14,2,1,3,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,7744.0,0,1,Sylhet,Card
Resort,0,3,2024,May,21,20,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4506.0,0,0,Sylhet,Card
Resort,1,206,2025,March,13,21,2,5,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3078.0,0,1,Sylhet,Mobile Banking
City Hotel,1,157,2024,May,18,1,1,3,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,7025.0,0,0,Chattogram,Mobile Banking
City Hotel,0,30,2024,May,21,21,2,2,2,1.0,0,BB,SAU,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,7813.0,0,0,Dhaka,Bank Transfer
City Hotel,0,1,2024,May,19,9,0,1,1,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5893.0,0,0,Dhaka,Card
Resort,0,32,2025,April,17,19,2,5,2,0.0,0,HB,BGD,Groups,Direct,0,0,0,D,0,No Deposit,0,Transient-Party,4465.0,0,0,Coxs_Bazar,Mobile Banking
Resort,0,53,2025,June,24,7,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,8762.0,0,1,Coxs_Bazar,Bank Transfer
Resort,1,246,2024,September,36,5,2,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,1,0,A,0,No Deposit,0,Transient-Party,4893.0,0,0,Coxs_Bazar,Mobile Banking
City Hotel,1,304,2025,November,45,3,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,4425.0,0,0,Sylhet,Card
City Hotel,0,127,2024,July,30,25,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,6029.0,0,0,Dhaka,Mobile Banking
Resort,0,0,2025,January,3,17,0,1,1,0.0,0,BB,BGD,Direct,Direct,1,0,1,A,0,No Deposit,0,Transient,4337.0,0,0,Coxs_Bazar,Card
City Hotel,1,113,2024,September,37,7,1,4,2,0.0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6949.0,0,0,Dhaka,Mobile Banking
City Hotel,0,272,2025,July,28,12,0,3,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,3,No Deposit,0,Transient-Party,8585.0,0,2,Dhaka,Card
City Hotel,1,11,2025,November,45,5,0,1,2,1.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6434.0,0,1,Chattogram,Cash
City Hotel,1,98,2024,November,48,23,1,2,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,3564.0,0,0,Chattogram,Card
City Hotel,1,292,2025,August,32,5,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient-Party,4130.0,0,0,Sylhet,Mobile Banking
City Hotel,0,16,2025,December,50,4,2,0,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4927.0,0,1,Chattogram,Mobile Banking
City Hotel,0,70,2025,April,17,22,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5897.0,0,0,Dhaka,Cash
Resort,1,49,2025,July,30,20,3,6,2,0.0,0,FB,BGD,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,0,Transient,5806.0,0,0,Sreemangal,Bank Transfer
City Hotel,1,379,2025,October,44,31,1,1,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient,4389.0,0,0,Dhaka,Mobile Banking
Resort,1,289,2024,July,30,25,0,4,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,0,No Deposit,0,Transient,8591.0,0,0,Coxs_Bazar,Mobile Banking
Resort,1,108,2025,April,18,29,2,2,2,0.0,0,HB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,5725.0,0,0,Coxs_Bazar,Card
Resort,0,128,2024,December,50,8,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,2544.0,0,2,Kuakata,Cash
Resort,0,18,2025,April,15,9,2,3,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Contract,3726.0,0,0,Coxs_Bazar,Bank Transfer
Resort,1,46,2025,August,32,12,2,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,10109.0,0,0,Coxs_Bazar,Card
City Hotel,0,4,2025,August,33,11,0,5,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Contract,5715.0,0,2,Dhaka,Mobile Banking
City Hotel,1,332,2025,April,16,22,1,1,2,1.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6951.0,0,0,Dhaka,Cash
City Hotel,0,28,2025,February,7,13,1,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,4521.0,0,0,Chattogram,Cash
Resort,0,1,2025,October,42,13,0,1,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,1,No Deposit,0,Transient,5673.0,0,1,Coxs_Bazar,Mobile Banking
City Hotel,0,53,2025,October,41,9,1,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Contract,6036.0,0,0,Dhaka,Card
Resort,1,260,2024,December,52,20,4,9,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,4429.0,0,1,Coxs_Bazar,Mobile Banking
Resort,0,166,2025,August,35,27,2,2,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,5145.0,0,0,Sylhet,Mobile Banking
City Hotel,0,76,2024,July,29,16,2,3,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,6589.0,0,0,Dhaka,Cash
City Hotel,0,1,2025,August,33,9,1,0,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,8069.0,0,2,Dhaka,Mobile Banking
City Hotel,0,172,2024,April,15,13,0,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,8270.0,0,2,Dhaka,Cash
City Hotel,0,2,2025,March,13,20,2,4,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,4147.0,0,0,Khulna,Mobile Banking
Resort,0,4,2025,June,23,6,0,3,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,1,0,3,A,0,No Deposit,0,Transient,4920.0,0,2,Bandarban,Mobile Banking
City Hotel,0,175,2025,August,35,31,1,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,0,Transient,4777.0,0,2,Chattogram,Card
City Hotel,1,97,2024,October,41,5,1,3,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,7436.0,0,0,Dhaka,Mobile Banking
Resort,0,2,2025,October,41,9,0,1,1,0.0,0,BB,BGD,Groups,Corporate,0,0,1,A,0,No Deposit,0,Transient,3119.0,0,0,Bandarban,Card
Resort,0,8,2024,July,28,7,0,4,3,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,H,2,No Deposit,0,Transient,8304.0,0,1,Sreemangal,Mobile Banking
Resort,1,468,2025,May,20,12,0,2,2,0.0,0,HB,BGD,Groups,TA/TO,0,1,0,A,0,No Deposit,0,Transient-Party,3535.0,0,0,Kuakata,Cash
Resort,0,36,2025,June,24,9,0,3,2,1.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,9625.0,1,1,Coxs_Bazar,Bank Transfer
City Hotel,1,262,2024,November,46,9,1,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,0,Non Refund,0,Transient,5695.0,0,0,Dhaka,Mobile Banking
City Hotel,1,91,2025,March,12,18,0,2,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,20,Transient,4936.0,0,0,Dhaka,Mobile Banking
City Hotel,0,50,2025,April,16,12,0,3,2,1.0,0,HB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6303.0,0,2,Rajshahi,Cash
City Hotel,0,32,2025,October,43,22,2,5,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,7439.0,0,2,Dhaka,Mobile Banking
City Hotel,1,19,2025,October,41,6,0,3,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,1,1,0,A,0,Non Refund,0,Transient,5254.0,0,0,Dhaka,Mobile Banking
City Hotel,0,61,2024,April,18,30,1,1,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,0,Transient,5296.0,0,1,Dhaka,Cash
City Hotel,0,297,2025,July,29,21,2,2,2,1.0,0,BB,BGD,Direct,Direct,0,0,0,A,1,No Deposit,0,Transient,6220.0,0,0,Chattogram,Mobile Banking
City Hotel,0,131,2025,June,23,8,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,8328.0,0,1,Dhaka,Card
Resort,0,228,2025,September,37,5,6,15,2,0.0,0,HB,BGD,Direct,Direct,0,0,1,D,0,No Deposit,0,Transient,4858.0,0,1,Sreemangal,Mobile Banking
City Hotel,1,330,2025,June,23,2,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,4549.0,0,0,Sylhet,Card
City Hotel,1,53,2025,May,21,18,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6707.0,0,0,Chattogram,Card
City Hotel,0,144,2025,June,27,26,2,0,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,5564.0,0,1,Dhaka,Card
Resort,0,36,2025,December,53,27,2,0,2,0.0,0,HB,BGD,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,0,Transient,3547.0,1,0,Sylhet,Card
City Hotel,1,313,2025,April,17,29,2,1,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,4844.0,0,0,Chattogram,Mobile Banking
Resort,1,32,2024,April,17,19,2,5,2,0.0,0,HB,BGD,Groups,Direct,0,0,0,D,0,No Deposit,0,Transient-Party,4069.0,0,0,Kuakata,Mobile Banking
City Hotel,1,524,2025,December,51,15,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,4945.0,0,0,Dhaka,Cash
City Hotel,1,56,2025,March,12,21,0,3,2,0.0,0,BB,ARE,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,0,Transient,5483.0,0,0,Dhaka,Bank Transfer
City Hotel,1,138,2025,August,34,18,0,2,3,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,0,No Deposit,0,Transient,8929.0,0,0,Dhaka,Cash
City Hotel,0,156,2024,August,35,21,2,1,2,,0,SC,IND,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6217.0,1,0,Dhaka,Card
City Hotel,0,164,2024,October,40,2,0,2,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,6644.0,0,0,Dhaka,Card
Resort,0,8,2025,November,48,25,0,1,1,0.0,0,BB,BGD,Corporate,Corporate,0,0,7,A,0,No Deposit,0,Transient,3808.0,0,1,Coxs_Bazar,Card
Resort,0,2,2024,November,47,18,0,2,2,0.0,0,HB,BGD,Direct,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6162.0,0,2,Coxs_Bazar,Card
City Hotel,1,391,2024,July,31,27,0,2,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,4431.0,0,0,Chattogram,Mobile Banking
City Hotel,0,66,2025,November,48,24,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5190.0,0,0,Dhaka,Card
City Hotel,0,256,2024,August,36,31,0,4,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,4050.0,0,0,Rajshahi,Mobile Banking
City Hotel,1,94,2025,August,35,23,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,5999.0,0,0,Chattogram,Mobile Banking
Resort,0,94,2024,February,7,13,1,3,3,0.0,0,HB,IND,Groups,TA/TO,0,0,0,A,1,No Deposit,0,Transient-Party,5577.0,0,0,Coxs_Bazar,Cash
City Hotel,1,97,2024,October,41,5,1,3,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,6030.0,0,0,Chattogram,Mobile Banking
City Hotel,0,56,2025,March,10,3,1,3,2,0.0,0,BB,BGD,Groups,Corporate,0,0,0,A,0,No Deposit,0,Transient-Party,5177.0,0,0,Dhaka,Cash
City Hotel,1,191,2025,April,14,6,2,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,3865.0,0,0,Khulna,Bank Transfer
Resort,1,9,2025,July,27,1,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,0,No Deposit,0,Transient,8855.0,0,1,Coxs_Bazar,Bank Transfer
City Hotel,0,81,2025,October,45,30,2,1,2,0.0,0,BB,IND,Direct,Direct,0,0,0,A,0,No Deposit,0,Transient,4657.0,0,0,Sylhet,Cash
City Hotel,1,150,2025,January,4,18,1,4,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,1,No Deposit,63,Transient-Party,5391.0,0,0,Dhaka,Cash
Resort,0,210,2024,August,33,19,2,5,3,0.0,0,HB,BGD,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,0,Transient,10008.0,0,0,Coxs_Bazar,Mobile Banking
City Hotel,0,448,2024,June,24,17,2,1,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,7584.0,0,1,Dhaka,Cash
City Hotel,0,152,2024,July,29,10,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,3,No Deposit,0,Transient,5603.0,0,3,Rajshahi,Card
City Hotel,0,14,2024,September,36,4,2,2,2,0.0,0,HB,BGD,Online TA,TA/TO,0,0,0,A,0,No Deposit,0,Transient,6821.0,1,3,Chattogram,Bank Transfer
City Hotel,1,135,2025,April,16,21,1,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,Non Refund,0,Transient,5561.0,0,0,Dhaka,Card
City Hotel,0,36,2025,September,40,28,0,3,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,0,No Deposit,0,Transient-Party,5999.0,0,0,Dhaka,Card
