booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,hotel_location,payment_method
BDH_00048,City Hotel,1,160,2024,December,53,30,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,111,Transient-Party,4665.0,0,0,Canceled,2015-12-23,Dhaka,Bank Transfer
BDH_00049,Resort,0,28,2025,May,21,19,2,5,3,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,4313.0,0,2,Check-Out,2016-05-26,Kuakata,Mobile Banking
BDH_00050,City Hotel,1,274,2024,July,29,18,2,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Transient-Party,4660.0,0,0,Canceled,2015-07-06,Dhaka,Card
BDH_00051,City Hotel,1,155,2025,July,29,17,1,1,2,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,5704.0,0,1,Canceled,2017-03-08,Dhaka,Bank Transfer
BDH_00052,Resort,1,48,2024,September,40,30,2,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,6004.0,0,0,Canceled,2016-08-14,Coxs_Bazar,Card
BDH_00053,Resort,0,25,2025,January,3,14,0,2,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,4763.0,0,1,Check-Out,2016-01-16,Sreemangal,Mobile Banking
BDH_00054,Resort,0,154,2024,July,29,11,1,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,327.0,,0,Transient,3208.0,0,0,Check-Out,2016-07-14,Kuakata,Cash
BDH_00055,City Hotel,1,1,2025,December,53,29,0,4,2,0.0,1,BB,CAN,Groups,TA/TO,0,0,0,B,B,2,No Deposit,29.0,,0,Transient,3926.0,0,2,Canceled,2015-12-29,Chattogram,Mobile Banking
BDH_00056,City Hotel,1,364,2025,October,42,16,0,2,2,0.0,0,HB,BGD,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,5945.0,0,0,Canceled,2015-07-06,Sylhet,Mobile Banking
BDH_00057,City Hotel,0,18,2024,December,51,11,1,0,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,378.0,,0,Transient-Party,6137.0,0,0,Check-Out,2016-12-12,Dhaka,Cash
BDH_00058,City Hotel,1,21,2024,January,1,2,1,3,2,0.0,0,BB,CAN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,4777.0,0,2,Canceled,2016-12-16,Chattogram,Mobile Banking
BDH_00059,City Hotel,1,15,2024,February,7,17,0,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,6439.0,0,0,Canceled,2017-02-02,Dhaka,Mobile Banking
BDH_00060,City Hotel,0,22,2025,March,11,16,2,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,5207.0,0,1,Check-Out,2017-03-23,Dhaka,Mobile Banking
BDH_00061,Resort,1,80,2025,August,34,26,2,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,5613.0,0,1,Canceled,2017-07-15,Kuakata,Mobile Banking
BDH_00062,City Hotel,1,25,2024,December,50,8,0,2,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,0,Transient,6379.0,0,0,Canceled,2015-11-17,Dhaka,Card
BDH_00063,Resort,0,164,2024,November,46,9,2,5,2,0.0,0,HB,BGD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,3995.0,1,0,Check-Out,2015-11-16,Sylhet,Cash
BDH_00064,City Hotel,0,69,2025,May,20,14,2,1,3,0.0,0,BB,IND,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,7744.0,0,1,Check-Out,2016-05-17,Sylhet,Card
BDH_00065,Resort,0,3,2024,May,21,20,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240.0,,0,Transient,4506.0,0,0,Check-Out,2016-05-22,Sylhet,Card
BDH_00066,Resort,1,206,2025,March,13,21,2,5,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,3078.0,0,1,Canceled,2015-08-31,Sylhet,Mobile Banking
BDH_00067,City Hotel,1,157,2024,May,18,1,1,3,2,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,7025.0,0,0,Canceled,2016-11-25,Chattogram,Mobile Banking
BDH_00068,City Hotel,0,30,2024,May,21,21,2,2,2,1.0,0,BB,SAU,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient,7813.0,0,0,Check-Out,2016-05-25,Dhaka,Bank Transfer
BDH_00069,City Hotel,0,1,2024,May,19,9,0,1,1,0.0,0,SC,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,10.0,,0,Transient,5893.0,0,0,Check-Out,2017-05-10,Dhaka,Card
BDH_00070,Resort,0,32,2025,April,17,19,2,5,2,0.0,0,HB,BGD,Groups,Direct,0,0,0,D,D,0,No Deposit,273.0,,0,Transient-Party,4465.0,0,0,Check-Out,2016-04-26,Coxs_Bazar,Mobile Banking
BDH_00071,Resort,0,53,2025,June,24,7,0,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,8762.0,0,1,Check-Out,2016-06-09,Coxs_Bazar,Bank Transfer
BDH_00072,Resort,1,246,2024,September,36,5,2,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,96.0,,0,Transient-Party,4893.0,0,0,Canceled,2015-06-17,Coxs_Bazar,Mobile Banking
BDH_00073,City Hotel,1,304,2025,November,45,3,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,21.0,,0,Transient,4425.0,0,0,Canceled,2016-02-01,Sylhet,Card
BDH_00074,City Hotel,0,127,2024,July,30,25,0,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,16.0,,0,Transient,6029.0,0,0,Check-Out,2017-07-28,Dhaka,Mobile Banking
BDH_00075,Resort,0,0,2025,January,3,17,0,1,1,0.0,0,BB,BGD,Direct,Direct,1,0,1,A,A,0,No Deposit,,,0,Transient,4337.0,0,0,Check-Out,2017-01-18,Coxs_Bazar,Card
BDH_00076,City Hotel,1,113,2024,September,37,7,1,4,2,0.0,0,BB,AUS,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,6949.0,0,0,Canceled,2016-05-23,Dhaka,Mobile Banking
BDH_00077,City Hotel,0,272,2025,July,28,12,0,3,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,F,3,No Deposit,9.0,,0,Transient-Party,8585.0,0,2,Check-Out,2017-07-15,Dhaka,Card
BDH_00078,City Hotel,1,11,2025,November,45,5,0,1,2,1.0,0,BB,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,6434.0,0,1,Canceled,2016-10-28,Chattogram,Cash
BDH_00079,City Hotel,1,98,2024,November,48,23,1,2,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,3564.0,0,0,No-Show,2015-11-23,Chattogram,Card
BDH_00080,City Hotel,1,292,2025,August,32,5,0,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,4130.0,0,0,Canceled,2015-07-02,Sylhet,Mobile Banking
BDH_00081,City Hotel,0,16,2025,December,50,4,2,0,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,4927.0,0,1,Check-Out,2016-12-06,Chattogram,Mobile Banking
BDH_00082,City Hotel,0,70,2025,April,17,22,2,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,5897.0,0,0,Check-Out,2016-04-26,Dhaka,Cash
BDH_00083,Resort,1,49,2025,July,30,20,3,6,2,0.0,0,FB,BGD,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,5806.0,0,0,Canceled,2015-06-01,Sreemangal,Bank Transfer
BDH_00084,City Hotel,1,379,2025,October,44,31,1,1,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,4389.0,0,0,Canceled,2015-07-23,Dhaka,Mobile Banking
BDH_00085,Resort,1,289,2024,July,30,25,0,4,2,1.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,8591.0,0,0,Canceled,2017-04-19,Coxs_Bazar,Mobile Banking
BDH_00086,Resort,1,108,2025,April,18,29,2,2,2,0.0,0,HB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,5725.0,0,0,Canceled,2016-02-12,Coxs_Bazar,Card
BDH_00087,Resort,0,128,2024,December,50,8,0,3,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,2544.0,0,2,Check-Out,2016-12-11,Kuakata,Cash
BDH_00088,Resort,0,18,2025,April,15,9,2,3,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,3726.0,0,0,Check-Out,2016-04-14,Coxs_Bazar,Bank Transfer
BDH_00089,Resort,1,46,2025,August,32,12,2,5,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,261.0,,0,Transient,10109.0,0,0,Canceled,2017-07-12,Coxs_Bazar,Card
BDH_00090,City Hotel,0,4,2025,August,33,11,0,5,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,5715.0,0,2,Check-Out,2015-08-16,Dhaka,Mobile Banking
BDH_00091,City Hotel,1,332,2025,April,16,22,1,1,2,1.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,6951.0,0,0,Canceled,2016-06-07,Dhaka,Cash
BDH_00092,City Hotel,0,28,2025,February,7,13,1,2,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,4521.0,0,0,Check-Out,2017-02-16,Chattogram,Cash
BDH_00093,Resort,0,1,2025,October,42,13,0,1,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,,0,Transient,5673.0,0,1,Check-Out,2015-10-14,Coxs_Bazar,Mobile Banking
BDH_00094,City Hotel,0,53,2025,October,41,9,1,2,2,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,6036.0,0,0,Check-Out,2015-10-12,Dhaka,Card
BDH_00095,Resort,1,260,2024,December,52,20,4,9,1,0.0,0,BB,BGD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,4429.0,0,1,Canceled,2015-08-24,Coxs_Bazar,Mobile Banking
BDH_00096,Resort,0,166,2025,August,35,27,2,2,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,171.0,,0,Transient-Party,5145.0,0,0,Check-Out,2016-08-31,Sylhet,Mobile Banking
BDH_00097,City Hotel,0,76,2024,July,29,16,2,3,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,6589.0,0,0,Check-Out,2017-07-21,Dhaka,Cash
BDH_00098,City Hotel,0,1,2025,August,33,9,1,0,2,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,8069.0,0,2,Check-Out,2015-08-10,Dhaka,Mobile Banking
BDH_00099,City Hotel,0,172,2024,April,15,13,0,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,8270.0,0,2,Check-Out,2017-04-16,Dhaka,Cash
BDH_00100,City Hotel,0,2,2025,March,13,20,2,4,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient-Party,4147.0,0,0,Check-Out,2016-03-26,Khulna,Mobile Banking
BDH_00101,Resort,0,4,2025,June,23,6,0,3,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,1,0,3,A,A,0,No Deposit,146.0,,0,Transient,4920.0,0,2,Check-Out,2017-06-09,Bandarban,Mobile Banking
BDH_00102,City Hotel,0,175,2025,August,35,31,1,3,2,0.0,0,BB,BGD,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,42.0,,0,Transient,4777.0,0,2,Check-Out,2017-09-04,Chattogram,Card
BDH_00103,City Hotel,1,97,2024,October,41,5,1,3,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,0,Transient,7436.0,0,0,Canceled,2015-07-03,Dhaka,Mobile Banking
BDH_00104,Resort,0,2,2025,October,41,9,0,1,1,0.0,0,BB,BGD,Groups,Corporate,0,0,1,A,D,0,No Deposit,,86.0,0,Transient,3119.0,0,0,Check-Out,2015-10-10,Bandarban,Card
BDH_00105,Resort,0,8,2024,July,28,7,0,4,3,2.0,0,BB,BGD,Online TA,TA/TO,0,0,0,H,H,2,No Deposit,240.0,,0,Transient,8304.0,0,1,Check-Out,2015-07-11,Sreemangal,Mobile Banking
BDH_00106,Resort,1,468,2025,May,20,12,0,2,2,0.0,0,HB,BGD,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249.0,,0,Transient-Party,3535.0,0,0,Canceled,2015-07-30,Kuakata,Cash
BDH_00107,Resort,0,36,2025,June,24,9,0,3,2,1.0,0,BB,BGD,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241.0,,0,Transient,9625.0,1,1,Check-Out,2016-06-12,Coxs_Bazar,Bank Transfer
BDH_00108,City Hotel,1,262,2024,November,46,9,1,2,2,0.0,0,BB,BGD,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,5695.0,0,0,Canceled,2015-09-04,Dhaka,Mobile Banking
BDH_00109,City Hotel,1,91,2025,March,12,18,0,2,1,0.0,0,BB,BGD,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,,20,Transient,4936.0,0,0,Canceled,2016-02-03,Dhaka,Mobile Banking
BDH_00110,City Hotel,0,50,2025,April,16,12,0,3,2,1.0,0,HB,BGD,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,6303.0,0,2,Check-Out,2016-04-15,Rajshahi,Cash
BDH_00111,City Hotel,0,32,2025,October,43,22,2,5,2,0.0,0,BB,BGD,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,7439.0,0,2,Check-Out,2016-10-29,Dhaka,Mobile Banking
BDH_00112,City Hotel,1,19,2025,October,41,6,0,3,1,0.0,0,BB,BGD,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,5254.0,0,0,Canceled,2015-09-17,Dhaka,Mobile Banking
